2022年9月22日 星期四 下午8:51:56 ,29,72,36.2
2022年9月22日 星期四 下午8:52:06 ,29,72,36.2
2022年9月22日 星期四 下午8:52:16 ,29,72,36.2
2022年9月24日 星期六 下午5:31:12 ,29,76,36.6
2022年9月24日 星期六 下午5:31:22 ,29,76,36.6
2022年9月24日 星期六 下午5:31:33 ,29,76,36.6
2022年9月24日 星期六 下午5:35:58 ,29,76,36.6
2022年9月24日 星期六 下午5:36:09 ,29,76,36.6
2022年9月24日 星期六 下午5:36:19 ,29,76,36.6
2022年9月24日 星期六 下午5:36:29 ,29,76,36.6
2022年9月24日 星期六 下午5:37:44 ,-1,-1,-1.1
2022年9月24日 星期六 下午5:37:54 ,29,75,36.5
2022年9月24日 星期六 下午5:39:32 ,29,76,36.6
2022年9月24日 星期六 下午5:43:56 ,29,76,36.6
2022年9月24日 星期六 下午5:44:06 ,29,76,36.6
2022年9月24日 星期六 下午5:44:17 ,29,75,36.5
2022年9月24日 星期六 下午5:44:26 ,29,75,36.5
2022年9月24日 星期六 下午5:44:36 ,29,75,36.5
2022年9月24日 星期六 下午5:45:13 ,29,75,36.5
2022年9月24日 星期六 下午5:45:42 ,29,75,36.5
2022年9月24日 星期六 下午5:48:31 ,-1,-1,-1.1
2022年9月24日 星期六 下午5:49:41 ,-1,-1,-1.1
2022年9月24日 星期六 下午5:50:01 ,30,75,37.5
2022年9月24日 星期六 下午5:50:34 ,29,75,36.5
2022年9月24日 星期六 下午5:51:47 ,30,75,37.5
2022年9月24日 星期六 下午5:52:28 ,30,75,37.5
2022年9月24日 星期六 下午5:52:38 ,30,75,37.5
2022年9月24日 星期六 下午5:52:48 ,29,75,36.5
2022年9月24日 星期六 下午5:52:59 ,30,75,37.5
2022年9月24日 星期六 下午5:53:14 ,30,75,37.5
2022年9月24日 星期六 下午5:53:24 ,30,75,37.5
2022年9月24日 星期六 下午5:53:34 ,30,75,37.5
2022年9月24日 星期六 下午7:36:54 ,30,77,37.7
2022年9月24日 星期六 下午7:37:04 ,30,76,37.6
2022年9月24日 星期六 下午7:37:20 ,30,76,37.6
2022年9月24日 星期六 下午7:37:30 ,30,76,37.6
2022年9月24日 星期六 下午7:37:50 ,30,76,37.6
2022年9月24日 星期六 下午7:38:00 ,30,76,37.6
2022年9月24日 星期六 下午7:38:11 ,30,76,37.6
2022年9月24日 星期六 下午7:38:21 ,30,75,37.5
2022年9月24日 星期六 下午7:38:31 ,30,75,37.5
2022年9月28日 星期三 下午7:03:26 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:03:36 ,30,82,38.2
